title1,title2,similarity,suggestion
200-Year Perspective Check,200-Year Perspective Check,100% word overlap,Keep: 200-Year Perspective Check
Adaptability Practice,Adaptability Practice,100% word overlap,Keep: Adaptability Practice
Artistic Diversion,Artistic Diversion,100% word overlap,Keep: Artistic Diversion
Better Questions Practice,Better Questions Practice,100% word overlap,Keep: Better Questions Practice
Deep Reflection,Reflect,0% word overlap,Keep: Reflect
Edison Strategic Napping,Edison Strategic Napping,100% word overlap,Keep: Edison Strategic Napping
Ego Check Before Speaking,Ego Check Before Speaking,100% word overlap,Keep: Ego Check Before Speaking
Ego or Joy Choice,Ego or Joy Choice,100% word overlap,Keep: Ego or Joy Choice
Extreme Imagination Practice,Extreme Imagination Practice,100% word overlap,Keep: Extreme Imagination Practice
Failure Alchemy,Failure Alchemy,100% word overlap,Keep: Failure Alchemy
Focus on Wants,Focus on Wants,100% word overlap,Keep: Focus on Wants
Focused Meditation Practice,Focused Meditation Practice,100% word overlap,Keep: Focused Meditation Practice
Guided Meditation Course,Guided Meditation Course,100% word overlap,Keep: Guided Meditation Course
Imagination Over Knowledge,Imagination Over Knowledge,100% word overlap,Keep: Imagination Over Knowledge
Imagineering Practice,Imagineering Practice,100% word overlap,Keep: Imagineering Practice
Learning by Doing,Learning by Doing,100% word overlap,Keep: Learning by Doing
Pain and Joy Sharing,Pain and Joy Sharing,100% word overlap,Keep: Pain and Joy Sharing
Permission First Protocol,Truth First Protocol,67% word overlap,Keep: Truth First Protocol
Permission First Protocol,Truth First Protocol,67% word overlap,Keep: Truth First Protocol
Permission First Protocol,Permission First Protocol,100% word overlap,Keep: Permission First Protocol
