ID,Activity,Category,Time of Day,Duration,Difficulty,Benefit,Attribute,Role Model
90,"After any setback, ask 'What can I learn from this?' and 'How can I use this to get stronger?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Turns setbacks into comebacks and eventually achieves goals despite obstacles","Resiliently Bouncing","Winston Churchill"
29,"Always ask 'How can I make this work better AND look more beautiful?'","Questioning & Inquiry","Work Hours","5-10 minutes","Easy","Creates solutions that are both highly effective and emotionally satisfying","Beautifully Functional","Leonardo da Vinci"
31,"Ask 'Can I actually control this?' and only spend energy on things where the answer is yes","Questioning & Inquiry","Evening","5-10 minutes","Easy","Reduces stress and frustration by putting effort where it can actually make a difference","Wisely Accepting","Marcus Aurelius"
101,"Ask 'How can I show love to this person?' even when they're difficult or unkind","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates deep healing and transformation in relationships by removing conditions and barriers","Unconditionally Loving","Jesus"
49,"Ask 'How can I use my abilities to help others grow?' in every role you have","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates positive impact while earning respect and building a meaningful legacy","Humbly Serving","Nelson Mandela"
1,"Ask 'How can this be 10x better?' before calling anything finished","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates products and experiences that truly delight people and stand out from the competition","Perfectionist","Steve Jobs"
64,"Ask 'How can we move forward together?' instead of 'How can I prove I'm right?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates lasting solutions and better relationships by focusing on shared values and common ground","Unifyingly Healing","Abraham Lincoln"
5,"Ask 'How does this make someone feel?' and redesign until the feeling is magical","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates products that are not just functional but emotionally meaningful and delightful","Design-Obsessed","Steve Jobs"
26,"Ask 'How does this work?' and 'What if I tried this differently?' about everyday things","Questioning & Inquiry","Evening","5-10 minutes","Easy","Discovers connections and innovations that others miss by investigating everything deeply","Endlessly Curious","Leonardo da Vinci"
34,"Ask 'How will this affect other people?' and 'What serves the greater good?'","Questioning & Inquiry","Mealtime","5-10 minutes","Easy","Creates positive impact and earns respect by considering the bigger picture","Dutifully Serving","Marcus Aurelius"
20,"Ask 'How will this help or hurt humanity?' before making important decisions","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates positive impact by considering the bigger picture and moral implications","Humanely Responsible","Albert Einstein"
23,"Ask 'Is this moving my mission forward?' rather than 'Will this get me recognition?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Stays motivated by internal satisfaction rather than external validation or competition","Humbly Dedicated","Marie Curie"
57,"Ask 'What can I learn from this?' and 'How can this experience help someone else?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Recovers from difficulties stronger than before while inspiring others to do the same","Gracefully Resilient","Maya Angelou"
61,"Ask 'What do I believe is truly right?' and act on it even when others disagree","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Builds respect and creates positive change by demonstrating that principles matter more than convenience","Courageously Principled","Abraham Lincoln"
41,"Ask 'What do I know is right?' and act on it despite criticism or doubt from others","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Accomplishes things others think impossible by staying true to inner convictions","Courageously Faithful","Joan of Arc"
55,"Ask 'What do I really believe is right?' and act on it regardless of social pressure","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Lives with integrity and self-respect while inspiring others to be more authentic","Courageously Authentic","Socrates"
8,"Ask 'What evidence supports this?' and test ideas through systematic observation","Questioning & Inquiry","Anytime","5-10 minutes","Advanced","Makes decisions based on solid facts rather than opinions or wishful thinking","Evidence-Based","Isaac Newton"
28,"Ask 'What if I combined this idea with something from a completely different area?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates breakthrough innovations by mixing knowledge from different fields","Creatively Connecting","Leonardo da Vinci"
18,"Ask 'What if the opposite were true?' and think through problems from scratch","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Finds truth and solutions that others miss by not following the crowd","Independently Thinking","Albert Einstein"
65,"Ask 'What needs to be done?' and 'How can I do this with the least harm to good people?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Earns respect and creates better outcomes by combining firmness with genuine care for others","Compassionately Strong","Abraham Lincoln"
12,"Ask 'What pain might be causing this person to act this way?' before responding","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Builds better relationships and reduces conflict by seeing the human side of every situation","Compassionately Wise","Buddha"
53,"Ask 'What would a person of good character do?' and follow through even when it's hard","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Builds strong character and self-respect while creating positive impact on others","Virtuously Principled","Socrates"
4,"Ask 'What would happen if we tried to make this 10x better?' and actually try it","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Inspires teams to create their greatest work and reach new levels of excellence","Demanding","Steve Jobs"
47,"Ask 'What would healing look like?' instead of 'How can I get them back?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Heals relationships and creates lasting solutions instead of ongoing cycles of conflict","Reconcilingly Forgiving","Nelson Mandela"
3,"Ask 'What would the perfect solution look like?' and work backwards","Questioning & Inquiry","Work Hours","5-10 minutes","Easy","Creates revolutionary breakthroughs instead of just incremental improvements","Visionary","Steve Jobs"
54,"Ask genuine questions to understand others' perspectives before sharing your own views","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Learns from others and builds better relationships through genuine understanding","Dialogically Connecting","Socrates"
77,"Ask yourself 'How can I use my abilities to help someone who needs it?' and take action regularly","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Creates meaning and purpose while making a positive difference in the world","Compassionately Serving","Eleanor Roosevelt"
104,"Before addressing problems, ask 'How can I say this in a way that shows I care about them?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Helps people change and grow by combining truth with safety and encouragement","Truthfully Compassionate","Jesus"
108,"Before big decisions, ask 'What would be the most honest and ethical choice here?'","Questioning & Inquiry","Anytime","5-10 minutes","Easy","Builds strong character and inner peace by aligning actions with deeper values and principles","Ethically Grounded","Patanjali"
45,"Before big decisions, spend time in prayer, meditation, or quiet reflection to seek guidance","Decision Making","Evening","10-15 minutes","Easy","Makes better choices by connecting with deeper wisdom and purpose beyond just logical thinking","Spiritually Guided","Joan of Arc"
