id,title,description,instructions,duration,points,difficulty,category,icon,source,timesUsed,lastUsed,customCategory,customDuration,customPoints,hasPreferences
cmdzeje8w0002dxjy1fdelfh1,200-Year Perspective Check,"Perspective is easily gained by asking, 'In 200 years how will this matter?'","When stressed about something, ask 'In 200 years, how will this matter?' Let the answer guide your response.",2 min,20,2,mindfulness,🌟,database,0,,,,,false
cmdzejf3i000gdxjy49o0hd42,Adaptability Practice,Intelligence is the ability to adapt to change. - Stephen Hawking,"When plans change unexpectedly, pause and ask 'How can I adapt?' Focus on solutions rather than resistance.",5 min,25,2,learning,🌟,database,0,,,,,false
cmdzejfj5000mdxjy89dlwspd,Artistic Diversion,"Artistic diversion: create music, art, pottery, and other artistic activities. It uses the brain differently which translates to other aspects of life.","Spend 30 minutes on music, art, pottery, or other creative expression. Notice how it affects your thinking in other areas.",30 min,30,2,creativity,🌟,database,0,,,,,false
bath,Bath,Relax and cleanse with a rejuvenating bath,,20 min,20,1,self-care,/activity-icons/Bath.jpg,database,0,,,,,false
cmdzejftt000rdxjy6ds8jky6,Better Questions Practice,The greatest answers come from asking better questions.,"Before solving any problem, spend 5 minutes crafting better questions. 'How can I...' instead of 'Why can't I...'",5 min,25,2,productivity,🌟,database,0,,,,,false
breakfast,Breakfast,Start your day with a nutritious breakfast,,30 min,15,1,nutrition,/activity-icons/breakfast.jpg,database,2,Wed Aug 06 2025 16:16:34 GMT-0600 (Mountain Daylight Time),physical,30 min,15,true
conflict-resolution,Conflict Resolution,Resolve disputes with wisdom and skill,,30 min,75,4,communication,/activity-icons/conflict-resolution.jpg,database,0,,,,,false
creative-thinking,Creative Thinking,Generate innovative ideas and solutions,,10 min,25,2,creative,/activity-icons/CreativeThink.png,database,0,,,,,false
deep-reflection,Deep Reflection,Contemplate life's deeper meanings,,30 min,50,3,reflection,/activity-icons/deep-reflection.jpg,database,0,,,,,false
dogs,Dogs,Spend quality time with your canine companions,,20 min,25,1,companionship,/activity-icons/Dogs.jpg,database,10,Wed Aug 06 2025 17:18:33 GMT-0600 (Mountain Daylight Time),physical,30 min,25,true
cmdzejfgz000ldxjykigdsv5p,Edison Strategic Napping,Strategic napping - using the Edison technique.,"Hold a small object while taking a 10-20 minute nap. When it drops and wakes you, immediately capture any insights.",20 min,45,4,creativity,🌟,database,0,,,,,false
cmdzejeun000cdxjy8ih44ac2,Ego Check Before Speaking,"Before speaking, determine what you hope to accomplish. If it is your ego speaking, stop.","Before speaking, ask 'What am I trying to accomplish?' If it's ego-driven (proving superiority), choose silence.",2 min,30,3,communication,🌟,database,0,,,,,false
cmdzeje6q0001dxjy0aghrz2z,Ego or Joy Choice,You can be right or you can be happy. Choose. Ego or Joy.,"When you feel the need to prove you're right, pause and ask 'Do I want to be right or happy?' Choose joy.",3 min,25,2,mindfulness,🌟,database,0,,,,,false
empathy-practice,Empathy Practice,Understand others' perspectives deeply,,15 min,45,3,communication,/activity-icons/empathy.jpg,database,0,,,,,false
cmdzejfco000jdxjynvt37b5u,Extreme Imagination Practice,"You must allow your mind to go to take you to extreme heights, alternative views, and even crazy imaginations. Then when you come back to earth, you are likely to land on the top of a mountain.","Spend 10 minutes imagining the most extreme, crazy solutions to a problem. Return to earth and find the mountaintop insights.",10 min,30,3,creativity,🌟,database,0,,,,,false
cmdzejeyy000edxjy5cg4zb0c,Failure Alchemy,"When you fail once, if you learn and solve it, you will never fail twice.","When you fail, immediately ask 'What did I learn?' and 'How will I solve this differently next time?' Document the lesson.",10 min,35,3,learning,🌟,database,0,,,,,false
cmdzejfng000odxjy571emqpv,Focus on Wants,"Focus on what you DO want, not what you DON'T want.","When planning or problem-solving, ask 'What do I want to happen?' instead of 'What don't I want?' Focus energy positively.",5 min,20,2,productivity,🌟,database,0,,,,,false
cmdzejed60004dxjys1hqvo4c,Focused Meditation Practice,"Meditations is not thinking of nothing. It is the act of watching you mind think of one thing. And when that one thing is a deity, then miracles can happen. And when that one thing is your true self, time stops.","Choose one focus (breath, deity, or true self). When mind wanders, gently return. Notice the magic of one-pointed focus.",15 min,45,4,mindfulness,🌟,database,3,Tue Aug 05 2025 22:18:28 GMT-0600 (Mountain Daylight Time),,,,true
gratitude-practice,Gratitude Practice,Acknowledge what you are thankful for,,5 min,30,2,mindfulness,/activity-icons/gratitude.jpg,database,0,,,,,false
cmdzejelv0008dxjyxo104v3y,Guided Meditation Course,"Course: Guided meditations (breath, creative, meeting, blessing, question)","Practice guided meditations for breath, creativity, meetings, blessings, and question-seeking. 5 sessions total.",25 min,50,4,mindfulness,🌟,database,0,,,,,false
hydrate,Hydrate,Stay hydrated with pure water,,1 min,15,1,physical,/activity-icons/hydrate.jpg,database,0,,,,,false
cmdzejf8a000hdxjyrhep79pe,Imagination Over Knowledge,"Einstein: 'Imagination is more important than knowledge. For knowledge is limited, whereas imagination embraces the entire world, stimulating progress, giving birth to evolution.' (My thought: knowledge defines what we know. Imagination defines what we will know.)",Spend 15 minutes imagining impossible solutions to current challenges. Let imagination guide you to new possibilities.,15 min,35,3,creativity,🌟,database,0,,,,,false
cmdzejfla000ndxjyogx51qcb,Imagineering Practice,"Imagineering. Spend time imagining a great idea, a perfect positive solution, or a creative alternative path. Give you mind permission to enjoy a playground of no rules, only possibilities and magic!",Give yourself 15 minutes to imagine a perfect solution with no rules or constraints. Enjoy the playground of pure possibility.,15 min,35,3,productivity,🌟,database,0,,,,,false
innovation-session,Innovation Session,Create breakthrough solutions,,60 min,65,4,creative,/activity-icons/innovation-session.jpg,database,0,,,,,false
inspire-others,Inspire Others,Motivate people to achieve greatness,,60 min,90,5,communication,/activity-icons/inspire-others.jpg,database,0,,,,,false
leadership-moment,Leadership Moment,Lead others toward a common goal,,45 min,70,4,communication,/activity-icons/Handshake.png,database,0,,,,,false
cmdzejf1d000fdxjyjmmysysm,Learning by Doing,"The fastest way to learn is by doing. Copy someone who knows and you get the same results without knowing. But by doing, you will come to know too.","Find someone skilled in what you want to learn. Copy their exact methods first, then adapt as you gain experience.",45 min,40,3,learning,🌟,database,0,,,,,false
